Customer ID, Customer Name, Email, Country, Coffee Type
17670-51384-MA, Aloisia Allner, aallner0@lulu.com, United States, Rob
17670-51384-MA, Aloisia Allner, aallner0@lulu.com, United States, Exc
21125-22134-PX, Jami Redholes, jredholes2@tmall.com, United States, Ara
23806-46781-OU, Christoffer O' Shea, not available, Ireland, Exc
23806-46781-OU, Christoffer O' Shea, not available, Ireland, Rob
86561-91660-RB, Beryle Cottier, not available, United States, Lib
65223-29612-CB, Shaylynn Lobe, slobe6@nifty.com, United States, Exc
21134-81676-FR, Melvin Wharfe, not available, Ireland, Lib
03396-68805-ZC, Guthrey Petracci, gpetracci8@livejournal.com, United States, Rob
61021-27840-ZN, Rodger Raven, rraven9@ed.gov, United States, Rob
76239-90137-UQ, Ferrell Ferber, fferbera@businesswire.com, United States, Ara
49315-21985-BB, Duky Phizackerly, dphizackerlyb@utexas.edu, United States, Exc
34136-36674-OM, Rosaleen Scholar, rscholarc@nyu.edu, United States, Rob
39396-12890-PE, Terence Vanyutin, tvanyutind@wix.com, United States, Rob
95875-73336-RG, Patrice Trobe, ptrobee@wunderground.com, United States, Lib
25473-43727-BY, Llywellyn Oscroft, loscroftf@ebay.co.uk, United States, Rob
99643-51048-IQ, Minni Alabaster, malabasterg@hexun.com, United States, Ara
62173-15287-CU, Rhianon Broxup, rbroxuph@jimdo.com, United States, Ara
57611-05522-ST, Pall Redford, predfordi@ow.ly, Ireland, Rob
76664-37050-DT, Aurea Corradino, acorradinoj@harvard.edu, United States, Ara
76664-37050-DT, Aurea Corradino, acorradinoj@harvard.edu, United States, Exc
03090-88267-BQ, Avrit Davidowsky, adavidowskyl@netvibes.com, United States, Ara
37651-47492-NC, Annabel Antuk, aantukm@kickstarter.com, United States, Rob
95399-57205-HI, Iorgo Kleinert, ikleinertn@timesonline.co.uk, United States, Ara
24010-66714-HW, Chrisy Blofeld, cblofeldo@amazon.co.uk, United States, Ara
07591-92789-UA, Culley Farris, not available, United States, Exc
49231-44455-IC, Selene Shales, sshalesq@umich.edu, United States, Ara
50124-88608-EO, Vivie Danneil, vdanneilr@mtv.com, Ireland, Ara
